DATE,DCOILWTICO_PC1
2012-10-29,-8.23050
2012-10-30,-7.09404
2012-10-31,-6.78846
2012-11-01,-7.46253
2012-11-02,-9.92998
2012-11-05,-10.34338
2012-11-06,-8.45041
2012-11-07,-11.74013
2012-11-08,-12.99857
2012-11-09,-13.04172
2012-11-12,-12.81842
2012-11-13,-14.07870
2012-11-14,-15.85925
2012-11-15,-13.52965
2012-11-16,-11.31361
2012-11-19,-7.93963
2012-11-20,-11.55892
2012-11-21,-9.44260
2012-11-22,.
2012-11-23,-10.21566
2012-11-26,-11.12921
2012-11-27,-13.00732
2012-11-28,-14.20885
2012-11-29,-12.53493
2012-11-30,-12.31059
2012-12-03,-12.13592
2012-12-04,-13.04691
2012-12-05,-13.03136
2012-12-06,-13.09609
2012-12-07,-14.03421
2012-12-10,-12.91807
2012-12-11,-14.84437
2012-12-12,-9.02866
2012-12-13,-9.00469
2012-12-14,-7.72849
2012-12-17,-7.61773
2012-12-18,-9.98353
2012-12-19,-9.59001
2012-12-20,-9.71635
2012-12-21,-11.55235
2012-12-24,.
2012-12-25,.
2012-12-26,-8.77916
2012-12-27,-8.79815
2012-12-28,-8.26672
2012-12-31,.
2013-01-01,.
2013-01-02,-9.76555
2013-01-03,-8.68284
2013-01-04,-8.31036
2013-01-07,-8.00513
2013-01-08,-8.83216
2013-01-09,-7.74110
2013-01-10,-5.27113
2013-01-11,-5.15756
2013-01-14,.
2013-01-15,-7.38828
2013-01-16,-6.29162
2013-01-17,-4.81459
2013-01-18,-2.58788
2013-01-21,.
2013-01-22,-2.78227
2013-01-23,-4.20236
2013-01-24,-4.42061
2013-01-25,-4.34302
2013-01-28,-2.83544
2013-01-29,-0.85314
2013-01-30,0.35850
2013-01-31,1.33873
2013-02-01,-0.34765
2013-02-04,-0.70183
2013-02-05,-1.89751
2013-02-06,-2.38866
2013-02-07,-4.04485
2013-02-08,-3.00973
2013-02-11,-3.36687
2013-02-12,-3.31283
2013-02-13,-4.70438
