Date,Volume
2012-10-30,3549550.3401177
2012-11-02,3605937.86458532
2012-11-04,3447501.42704735
2012-11-07,3523161.45767796
2012-11-10,3455108.76667263
2012-11-13,3397399.43253121
2012-11-16,3397528.22762948
2012-11-19,3390696.38781632
2012-11-22,3353878.06575399
2012-11-25,3091718.47055451
2012-11-28,3188783.75988998
2012-12-01,3057008.39993929
2012-12-04,3123641.88423482
2012-12-07,3211201.59487979
2012-12-10,3315538.62592011
2012-12-13,3669054.04094869
2012-12-16,3605083.10273199
2012-12-19,3643138.85683314
2012-12-22,3600634.61494126
2012-12-25,3625292.53323091
2012-12-28,3573814.84046515
2012-12-31,3561310.38480307
2013-01-03,3594283.95987979
2013-01-06,3416444.59967552
2013-01-09,3436808.64429646
2013-01-12,3250217.34765064
2013-01-15,3324229.54543462
2013-01-18,3414577.31399816
2013-01-21,3478992.75891629
2013-01-24,4022853.38659016
2013-01-27,4368305.51004995
2013-01-30,5068566.68779342
2013-02-02,5647945.0151697
2013-02-05,6008371.51204598
2013-02-08,6348328.90334508
2013-02-11,6545017.11959191
2013-02-14,7027499.75591548
2013-02-17,7316871.5847724
2013-02-20,7824103.74756653
2013-02-23,7953486.77484325
2013-02-26,8356723.15468395
2013-03-01,8398104.78275346
2013-03-04,8319236.9682106
2013-03-07,9230819.22880923
2013-03-11,9502860.91326035
2013-03-14,10287472.8592374
2013-03-17,10572320.788648
2013-03-20,11094385.2959758
2013-03-23,12425436.4176324
2013-03-26,13297367.5983268
2013-03-29,14755550.7040436
2013-04-01,15791851.282244
2013-04-04,19185132.7378477
2013-04-07,21034659.5454434
2013-04-10,25824079.3538701
2013-04-13,34242047.8660607
2013-04-16,35807064.1725234
2013-04-19,37370592.4150137
2013-04-22,37538645.2800269
2013-04-25,38579559.6184197
2013-04-28,39919739.6579584
2013-05-01,41175562.5174646
2013-05-04,40702672.4874042
2013-05-07,39877471.3423992
2013-05-10,37734865.8599565
2013-05-13,30851214.8813393
2013-05-16,31454396.9943773
2013-05-19,31239551.0798445
2013-05-22,30795072.1451612
2013-05-25,30287439.7641917
2013-05-28,28494223.1963619
2013-05-31,27865827.7552818
2013-06-03,25810811.7210024
2013-06-06,25946689.2289214
2013-06-09,24640092.1268463
2013-06-12,23916066.8514827
2013-06-15,22628691.5654652
2013-06-18,21407519.4346318
2013-06-21,21228204.126144
2013-06-24,20542934.5722072
2013-06-27,20281542.8679048
2013-06-30,19169063.6374957
2013-07-03,19400996.4386727
2013-07-06,19472475.9673992
2013-07-09,18608083.54677
2013-07-12,19035229.7953342
2013-07-15,19313676.1932908
2013-07-18,20606839.5089359
2013-07-21,21483790.0390984
2013-07-24,22021294.1975137
2013-07-27,22430778.601011
2013-07-30,22320119.2032217
2013-08-02,22896262.3154823
2013-08-05,22061960.1909744
